[TIME] TIMESTAMP / RECORD ID,[TIME] YEAR,[TIME] QUARTER,[TIME] MONTH,[TIME] WEEK,[TIME] DAY,[TIME] HOUR,[TIME] MINUTE,[TIME] ATE TEST TIME (SEC),[TIME] USER TEST TIME (SEC),[TIME] TOTAL TEST DURATION (SEC),[ORDER] PURCHASE/PRODUCTION ORDER,[ORDER] DEVIATION,[ATE] STATION ID,[ATE] SW 086-2xx-02 VER,[ATE] PCF 086-2xx-T0 VER,[ATE] PCF 086-2xx-T1 VER,[RESULT] TEST P/F STATUS,[RESULT] FAILURE MODE,[RESULT] TOTAL RETRY COUNT,[CONFIG] PO NUMBER,[CONFIG] UUT PART NUMBER,[CONFIG] UUT SERIAL NUMBER,[CONFIG] UUT DEVIATION,[CONFIG] UUT SERVICE REPAIR,[CONFIG] UUT HARDWARE ID,[CONFIG] TEST MODE,12V ISO LOW [P/F],12V ISO LOW [MEAS],12V ISO HIGH [P/F],12V ISO HIGH [MEAS],5V REG LOW [P/F],5V REG LOW [MEAS],3V3 REG LOW [P/F],3V3 REG LOW [MEAS],5V REG HIGH [P/F],5V REG HIGH [MEAS],3V3 REG HIGH [P/F],3V3 REG HIGH [MEAS],FW PROG [P/F],UUT COMMS [P/F],PROD FW VERSION [P/F],PROD FW VERSION [VAL],SPI MEM TEST [P/F],SPI MEM TEST [MEAS],WATCH DOG RESET [P/F],FLASH MEMORY [P/F],CAN SELF-TEST [P/F],CAN SELF-TEST [MEAS],5V XM [P/F],5V XM [MEAS],RS485 COMM [P/F],RS485 COMM [MEAS],12V_XM_SW OFF [P/F],12V_XM_SW OFF [MEAS],12V_XM_SW ON [P/F],12V_XM_SW ON [MEAS],SUPERVISOR HIGH [P/F],SUPERVISOR HIGH [MEAS],SUPERVISOR LOW [P/F],SUPERVISOR LOW [MEAS],BCU_RST_REQ HIGH [P/F],BCU_RST_REQ HIGH [MEAS],BCU_RST_REQ LOW [P/F],BCU_RST_REQ LOW [MEAS],LRI OFF [P/F],LRI OFF [MEAS],LRI ON [P/F],LRI ON [MEAS],TAMPER 1 LOW [P/F],TAMPER 2 HIGH [P/F],WATER_INTRUSION LOW [P/F],PAD_SHEAR HIGH [P/F],TAMPER 1 HIGH [P/F],TAMPER 2 LOW [P/F],WATER_INTRUSION HIGH [P/F],PAD_SHEAR LOW [P/F],12V_REM [P/F],12V_REM [REPT],12V_REM [MEAS],12V_LPDU [P/F],12V_LPDU [REPT],12V_LPDU [MEAS],DS1 INTENSITY [P/F],DS1 INTENSITY [MEAS],DS1 HUE [P/F],DS1 HUE [MEAS],DS2 INTENSITY [P/F],DS2 INTENSITY [MEAS],DS2 HUE [P/F],DS2 HUE [MEAS],DS3 INTENSITY [P/F],DS3 INTENSITY [MEAS],DS3 HUE [P/F],DS3 HUE [MEAS],DS4 INTENSITY [P/F],DS4 INTENSITY [MEAS],DS4 HUE [P/F],DS4 HUE [MEAS],LED PATTERN 1 [P/F],LED PATTERN 2 [P/F],TEST STATUS [P/F],TEST STATUS [VAL]
2022-11-10_08:37:23.569,2022,4,11,45,10,08,37,182,0,182,VERIFY,,ATI_BLI_TESTENG_1,0.00.2,0.00.0,,PASS,,0,VERIFY,704-00306-30-001 B,2208F0110114,,,17,VERIFY (NO PROG / CAL),PASS,11.800000,PASS,11.793000,PASS,5.132000,PASS,3.312000,PASS,5.188000,PASS,3.311000,PASS,PASS,PASS,V0.00.0M,PASS,100.000000,PASS,PASS,PASS,100.000000,PASS,5.034000,PASS,1.000000,PASS,0.108000,PASS,11.963000,PASS,3.287000,PASS,0.000000,PASS,3.307000,PASS,0.002000,PASS,11.789000,PASS,0.013000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,12.050000,12.080000,PASS,11.930000,11.993000,PASS,66693.000000,PASS,119.000000,PASS,62627.000000,PASS,0.000000,PASS,59115.000000,PASS,119.000000,PASS,61730.000000,PASS,0.000000,PASS,PASS,PASS,P
2022-11-10_08:51:53.550,2022,4,11,45,10,08,51,179,0,179,VERIFY,,ATI_BLI_TESTENG_1,0.00.2,0.00.0,,PASS,,0,VERIFY,704-00306-30-001 B,2208F0110114,,,17,COMPLETE TEST,PASS,11.797000,PASS,11.795000,PASS,5.133000,PASS,3.313000,PASS,5.189000,PASS,3.312000,PASS,PASS,PASS,V0.00.0M,PASS,100.000000,PASS,PASS,PASS,100.000000,PASS,5.035000,PASS,1.000000,PASS,0.112000,PASS,11.962000,PASS,3.287000,PASS,0.001000,PASS,3.307000,PASS,0.002000,PASS,11.789000,PASS,0.013000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,12.050000,12.081000,PASS,11.930000,11.993000,PASS,66577.000000,PASS,119.000000,PASS,62561.000000,PASS,0.000000,PASS,58872.000000,PASS,119.000000,PASS,61612.000000,PASS,0.000000,PASS,PASS,PASS,P
2022-11-10_08:56:16.101,2022,4,11,45,10,08,56,180,0,180,VERIFY,,ATI_BLI_TESTENG_1,0.00.2,0.00.0,,PASS,,0,VERIFY,704-00306-30-001 B,2208F0110114,,,17,COMPLETE TEST,PASS,11.799000,PASS,11.796000,PASS,5.133000,PASS,3.312000,PASS,5.189000,PASS,3.311000,PASS,PASS,PASS,V0.00.0M,PASS,100.000000,PASS,PASS,PASS,100.000000,PASS,5.035000,PASS,1.000000,PASS,0.094000,PASS,11.962000,PASS,3.285000,PASS,0.000000,PASS,3.307000,PASS,0.002000,PASS,11.790000,PASS,0.013000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,12.050000,12.080000,PASS,11.930000,11.992000,PASS,66449.000000,PASS,119.000000,PASS,62640.000000,PASS,0.000000,PASS,58932.000000,PASS,119.000000,PASS,61572.000000,PASS,0.000000,PASS,PASS,PASS,P
2022-11-10_09:00:06.160,2022,4,11,45,10,09,00,177,0,177,VERIFY,,ATI_BLI_TESTENG_1,0.00.2,0.00.0,,PASS,,0,VERIFY,704-00306-30-001 B,2208F0110114,,,17,COMPLETE TEST,PASS,11.799000,PASS,11.797000,PASS,5.133000,PASS,3.312000,PASS,5.189000,PASS,3.311000,PASS,PASS,PASS,V0.00.0M,PASS,100.000000,PASS,PASS,PASS,100.000000,PASS,5.035000,PASS,1.000000,PASS,0.089000,PASS,11.888000,PASS,3.287000,PASS,0.000000,PASS,3.307000,PASS,0.002000,PASS,11.791000,PASS,0.013000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,12.060000,12.081000,PASS,11.930000,11.992000,PASS,66288.000000,PASS,119.000000,PASS,62296.000000,PASS,0.000000,PASS,58250.000000,PASS,119.000000,PASS,61050.000000,PASS,0.000000,PASS,PASS,PASS,P
2022-11-10_09:03:43.594,2022,4,11,45,10,09,03,179,0,179,VERIFY,,ATI_BLI_TESTENG_1,0.00.2,0.00.0,,PASS,,0,VERIFY,704-00306-30-001 B,2208F0110114,,,17,COMPLETE TEST,PASS,11.798000,PASS,11.796000,PASS,5.134000,PASS,3.312000,PASS,5.189000,PASS,3.311000,PASS,PASS,PASS,V0.00.0M,PASS,100.000000,PASS,PASS,PASS,100.000000,PASS,5.035000,PASS,1.000000,PASS,0.109000,PASS,11.962000,PASS,3.287000,PASS,0.001000,PASS,3.307000,PASS,0.002000,PASS,11.791000,PASS,0.013000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,12.050000,12.081000,PASS,11.930000,11.992000,PASS,66406.000000,PASS,119.000000,PASS,62522.000000,PASS,0.000000,PASS,58686.000000,PASS,119.000000,PASS,61374.000000,PASS,0.000000,PASS,PASS,PASS,P
2022-11-10_09:07:56.054,2022,4,11,45,10,09,07,179,0,179,VERIFY,,ATI_BLI_TESTENG_1,0.00.2,0.00.0,,PASS,,0,VERIFY,704-00306-30-001 B,2208F0110104,,,17,COMPLETE TEST,PASS,11.789000,PASS,11.779000,PASS,5.126000,PASS,3.287000,PASS,5.171000,PASS,3.286000,PASS,PASS,PASS,V0.00.0M,PASS,100.000000,PASS,PASS,PASS,100.000000,PASS,5.053000,PASS,1.000000,PASS,0.108000,PASS,11.962000,PASS,3.287000,PASS,0.000000,PASS,3.283000,PASS,0.002000,PASS,11.774000,PASS,0.013000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,12.140000,12.063000,PASS,12.030000,11.992000,PASS,64688.000000,PASS,119.000000,PASS,63118.000000,PASS,0.000000,PASS,60003.000000,PASS,119.000000,PASS,60261.000000,PASS,0.000000,PASS,PASS,PASS,P
2022-11-10_09:12:30.755,2022,4,11,45,10,09,12,179,0,179,VERIFY,,ATI_BLI_TESTENG_1,0.00.2,0.00.0,,PASS,,0,VERIFY,704-00306-30-001 B,2208F0110104,,,17,COMPLETE TEST,PASS,11.783000,PASS,11.780000,PASS,5.126000,PASS,3.287000,PASS,5.171000,PASS,3.286000,PASS,PASS,PASS,V0.00.0M,PASS,100.000000,PASS,PASS,PASS,100.000000,PASS,5.054000,PASS,1.000000,PASS,0.112000,PASS,11.962000,PASS,3.287000,PASS,0.000000,PASS,3.283000,PASS,0.002000,PASS,11.774000,PASS,0.013000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,12.140000,12.064000,PASS,12.040000,11.992000,PASS,64300.000000,PASS,119.000000,PASS,62848.000000,PASS,0.000000,PASS,59945.000000,PASS,119.000000,PASS,60261.000000,PASS,0.000000,PASS,PASS,PASS,P
2022-11-10_09:16:15.760,2022,4,11,45,10,09,16,179,0,179,VERIFY,,ATI_BLI_TESTENG_1,0.00.2,0.00.0,,PASS,,0,VERIFY,704-00306-30-001 B,2208F0110104,,,17,COMPLETE TEST,PASS,11.783000,PASS,11.780000,PASS,5.126000,PASS,3.287000,PASS,5.171000,PASS,3.286000,PASS,PASS,PASS,V0.00.0M,PASS,100.000000,PASS,PASS,PASS,100.000000,PASS,5.054000,PASS,1.000000,PASS,0.137000,PASS,11.961000,PASS,3.240000,PASS,0.000000,PASS,3.283000,PASS,0.002000,PASS,11.774000,PASS,0.014000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,12.140000,12.064000,PASS,12.030000,11.992000,PASS,63688.000000,PASS,119.000000,PASS,61920.000000,PASS,0.000000,PASS,59296.000000,PASS,119.000000,PASS,60220.000000,PASS,0.000000,PASS,PASS,PASS,P
2022-11-10_09:24:46.097,2022,4,11,45,10,09,24,180,0,180,VERIFY,,ATI_BLI_TESTENG_1,0.00.2,0.00.0,,PASS,,0,VERIFY,704-00306-20-001 F,2208F0110020,,,1,COMPLETE TEST,PASS,11.736000,PASS,11.734000,PASS,5.168000,PASS,3.293000,PASS,5.230000,PASS,3.293000,PASS,PASS,PASS,V0.00.0M,PASS,100.000000,PASS,PASS,PASS,100.000000,PASS,5.016000,PASS,1.000000,PASS,0.113000,PASS,11.962000,PASS,3.285000,PASS,0.000000,PASS,3.289000,PASS,0.002000,PASS,11.736000,PASS,0.023000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,11.960000,12.022000,PASS,12.020000,11.992000,PASS,64908.000000,PASS,119.000000,PASS,65903.000000,PASS,0.000000,PASS,59474.000000,PASS,119.000000,PASS,61612.000000,PASS,0.000000,PASS,PASS,PASS,P
2022-11-10_09:28:51.380,2022,4,11,45,10,09,28,172,0,172,VERIFY,,ATI_BLI_TESTENG_1,0.00.2,0.00.0,,PASS,,0,VERIFY,704-00306-20-001 F,2208F0110020,,,1,COMPLETE TEST,PASS,11.738000,PASS,11.737000,PASS,5.168000,PASS,3.293000,PASS,5.230000,PASS,3.293000,PASS,PASS,PASS,V0.00.0M,PASS,100.000000,PASS,PASS,PASS,100.000000,PASS,5.016000,PASS,1.000000,PASS,0.135000,PASS,11.962000,PASS,2.925000,PASS,0.000000,PASS,3.289000,PASS,0.002000,PASS,11.737000,PASS,0.012000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,11.960000,12.022000,PASS,12.020000,11.992000,PASS,64110.000000,PASS,119.000000,PASS,65903.000000,PASS,0.000000,PASS,58626.000000,PASS,119.000000,PASS,60639.000000,PASS,0.000000,PASS,PASS,PASS,P
2022-11-10_09:33:56.151,2022,4,11,45,10,09,33,180,0,180,VERIFY,,ATI_BLI_TESTENG_1,0.00.2,0.00.0,,PASS,,0,VERIFY,704-00306-20-001 F,2208F0110020,,,1,COMPLETE TEST,PASS,11.738000,PASS,11.737000,PASS,5.168000,PASS,3.293000,PASS,5.230000,PASS,3.293000,PASS,PASS,PASS,V0.00.0M,PASS,100.000000,PASS,PASS,PASS,100.000000,PASS,5.016000,PASS,1.000000,PASS,0.137000,PASS,11.962000,PASS,2.892000,PASS,0.000000,PASS,3.289000,PASS,0.002000,PASS,11.738000,PASS,0.015000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,11.950000,12.022000,PASS,12.020000,11.991000,PASS,64630.000000,PASS,119.000000,PASS,65903.000000,PASS,0.000000,PASS,58501.000000,PASS,119.000000,PASS,60472.000000,PASS,0.000000,PASS,PASS,PASS,P
2022-11-10_09:40:44.138,2022,4,11,45,10,09,40,183,105,288,VERIFY,,ATI_BLI_TESTENG_1,0.00.2,0.00.0,,FAIL,CAN SELF-TEST,0,VERIFY,704-00306-20-001 F,2208F0110036,,,1,COMPLETE TEST,PASS,11.667000,PASS,11.663000,PASS,5.089000,PASS,3.309000,PASS,5.153000,PASS,3.308000,PASS,PASS,PASS,V0.00.0M,PASS,100.000000,PASS,PASS,FAIL [0],104.000000,PASS,5.017000,PASS,1.000000,FAIL [0],11.962000,PASS,11.962000,PASS,3.254000,PASS,0.001000,PASS,3.304000,FAIL [0],3.304000,PASS,11.667000,FAIL [0],11.668000,FAIL [0] | FAIL,PASS,PASS,PASS,PASS,FAIL [0] | FAIL,FAIL [0] | FAIL,FAIL [0] | FAIL,PASS,12.000000,11.977000,PASS,11.950000,11.982000,PASS,63966.000000,PASS,119.000000,PASS,63798.000000,PASS,0.000000,PASS,59534.000000,PASS,119.000000,FAIL [0],0.000000,FAIL [0],999.000000,FAIL [0] | DS4 | Meas: 0 | Thresh: 0,FAIL [0] | DS4 | Meas: 0 | Thresh: 0,PASS,F
